Date : 2021-09-28 23:18:27
Directory : /home/rivalq/CS/store
Total : 62 files,  9956 codes, 2601 comments, 13831 blanks, all 26388 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         18 |      7,438 |      2,284 |     13,201 |     22,923 |
| Java       |         27 |      1,377 |        266 |        396 |      2,039 |
| JavaScript |         10 |        693 |          0 |        159 |        852 |
| CSS        |          1 |        191 |          0 |         15 |        206 |
| Batch      |          1 |         96 |         51 |         36 |        183 |
| SQL        |          1 |         88 |          0 |         19 |        107 |
| XML        |          2 |         65 |          0 |          3 |         68 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |         62 |      9,956 |      2,601 |     13,831 |     26,388 |
| .mvn                                                                                                                                            |          2 |         78 |         31 |         12 |        121 |
| .mvn/wrapper                                                                                                                                    |          2 |         78 |         31 |         12 |        121 |
| src                                                                                                                                             |         56 |      3,070 |        243 |        682 |      3,995 |
| src/main                                                                                                                                        |         55 |      3,061 |        243 |        677 |      3,981 |
| src/main/java                                                                                                                                   |         25 |      1,292 |        235 |        380 |      1,907 |
| src/main/java/com                                                                                                                               |         25 |      1,292 |        235 |        380 |      1,907 |
| src/main/java/com/dbms                                                                                                                          |         25 |      1,292 |        235 |        380 |      1,907 |
| src/main/java/com/dbms/store                                                                                                                    |         25 |      1,292 |        235 |        380 |      1,907 |
| src/main/java/com/dbms/store/controller                                                                                                         |          8 |        614 |         12 |        147 |        773 |
| src/main/java/com/dbms/store/model                                                                                                              |          6 |        286 |        222 |        114 |        622 |
| src/main/java/com/dbms/store/repository                                                                                                         |          6 |        298 |          1 |         82 |        381 |
| src/main/java/com/dbms/store/service                                                                                                            |          4 |         85 |          0 |         32 |        117 |
| src/main/resources                                                                                                                              |         30 |      1,769 |          8 |        297 |      2,074 |
| src/main/resources/static                                                                                                                       |         12 |        888 |          0 |        174 |      1,062 |
| src/main/resources/static/css                                                                                                                   |          1 |        191 |          0 |         15 |        206 |
| src/main/resources/static/images                                                                                                                |          1 |          4 |          0 |          0 |          4 |
| src/main/resources/static/js                                                                                                                    |         10 |        693 |          0 |        159 |        852 |
| src/main/resources/templates                                                                                                                    |         17 |        875 |          8 |        122 |      1,005 |
| src/main/resources/templates/dashboard                                                                                                          |         11 |        294 |          6 |         49 |        349 |
| src/main/resources/templates/dashboard/layout                                                                                                   |          5 |         71 |          6 |         14 |         91 |
| src/test                                                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| src/test/java                                                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com                                                                                                                               |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/dbms                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src/test/java/com/dbms/store                                                                                                                    |          1 |          9 |          0 |          5 |         14 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/rivalq/CS/store/.mvn/wrapper/MavenWrapperDownloader.java                                                                                  | Java       |         76 |         31 |         11 |        118 |
| /home/rivalq/CS/store/.mvn/wrapper/maven-wrapper.properties                                                                                     | Properties |          2 |          0 |          1 |          3 |
| /home/rivalq/CS/store/Allen Solly Junior Boy's Floral Regular fit Polo (ABTS31901827_Orange 5-6 Years) _ Amazon.in_ Clothing & Accessories.html | HTML       |      6,563 |      2,276 |     13,079 |     21,918 |
| /home/rivalq/CS/store/mvnw.cmd                                                                                                                  | Batch      |         96 |         51 |         36 |        183 |
| /home/rivalq/CS/store/pom.xml                                                                                                                   | XML        |         61 |          0 |          3 |         64 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/StoreApplication.java                                                                        | Java       |          9 |          0 |          5 |         14 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/AuthController.java                                                               | Java       |         64 |          0 |         18 |         82 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/BaseController.java                                                               | Java       |         30 |          1 |          8 |         39 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/CartController.java                                                               | Java       |         43 |          0 |         10 |         53 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/ClothController.java                                                              | Java       |         78 |          4 |         19 |        101 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/DashboardController.java                                                          | Java       |         65 |          0 |         17 |         82 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/ProfileController.java                                                            | Java       |         38 |          0 |         15 |         53 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/SellerController.java                                                             | Java       |        190 |          7 |         38 |        235 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/controller/adminController.java                                                              | Java       |        106 |          0 |         22 |        128 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/Cart.java                                                                              | Java       |         38 |         30 |         14 |         82 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/Cloth.java                                                                             | Java       |         52 |         42 |         18 |        112 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/MarketPlace.java                                                                       | Java       |         10 |          6 |          8 |         24 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/Request.java                                                                           | Java       |         68 |         48 |         32 |        148 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/Stock.java                                                                             | Java       |         31 |         24 |         13 |         68 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/model/User.java                                                                              | Java       |         87 |         72 |         29 |        188 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/CartRepository.java                                                               | Java       |         21 |          0 |          8 |         29 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/ClothRepository.java                                                              | Java       |         88 |          0 |         15 |        103 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/MarketRepository.java                                                             | Java       |         35 |          0 |         17 |         52 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/RequestRepository.java                                                            | Java       |         44 |          0 |         12 |         56 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/SellerRepository.java                                                             | Java       |         71 |          1 |         19 |         91 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/repository/UserRepository.java                                                               | Java       |         39 |          0 |         11 |         50 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/service/AuthService.java                                                                     | Java       |         38 |          0 |          9 |         47 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/service/ClothService.java                                                                    | Java       |         11 |          0 |         11 |         22 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/service/ToastService.java                                                                    | Java       |         19 |          0 |          6 |         25 |
| /home/rivalq/CS/store/src/main/java/com/dbms/store/service/UserService.java                                                                     | Java       |         17 |          0 |          6 |         23 |
| /home/rivalq/CS/store/src/main/resources/application.properties                                                                                 | Properties |          6 |          0 |          1 |          7 |
| /home/rivalq/CS/store/src/main/resources/static/css/style.css                                                                                   | CSS        |        191 |          0 |         15 |        206 |
| /home/rivalq/CS/store/src/main/resources/static/images/cloth-upload.svg                                                                         | XML        |          4 |          0 |          0 |          4 |
| /home/rivalq/CS/store/src/main/resources/static/js/Cart.js                                                                                      | JavaScript |         68 |          0 |         19 |         87 |
| /home/rivalq/CS/store/src/main/resources/static/js/ClothBuilder.js                                                                              | JavaScript |         54 |          0 |         14 |         68 |
| /home/rivalq/CS/store/src/main/resources/static/js/SellerclothInterface.js                                                                      | JavaScript |        152 |          0 |         42 |        194 |
| /home/rivalq/CS/store/src/main/resources/static/js/admin.js                                                                                     | JavaScript |         90 |          0 |         19 |        109 |
| /home/rivalq/CS/store/src/main/resources/static/js/apiCloth.js                                                                                  | JavaScript |          0 |          0 |          2 |          2 |
| /home/rivalq/CS/store/src/main/resources/static/js/clothWithEdit_get.js                                                                         | JavaScript |         90 |          0 |         21 |        111 |
| /home/rivalq/CS/store/src/main/resources/static/js/clothWithEdit_update.js                                                                      | JavaScript |         55 |          0 |         17 |         72 |
| /home/rivalq/CS/store/src/main/resources/static/js/permissions.js                                                                               | JavaScript |         12 |          0 |          2 |         14 |
| /home/rivalq/CS/store/src/main/resources/static/js/sellerCloths.js                                                                              | JavaScript |        160 |          0 |         20 |        180 |
| /home/rivalq/CS/store/src/main/resources/static/js/toast.js                                                                                     | JavaScript |         12 |          0 |          3 |         15 |
| /home/rivalq/CS/store/src/main/resources/templates/SellerclothInterface.html                                                                    | HTML       |        103 |          0 |         15 |        118 |
| /home/rivalq/CS/store/src/main/resources/templates/admin.html                                                                                   | HTML       |         96 |          0 |         14 |        110 |
| /home/rivalq/CS/store/src/main/resources/templates/clothWithEdit.html                                                                           | HTML       |        111 |          0 |         16 |        127 |
